NO. OF CONSTITUENCY,NAME OF CONSTITUENCY,NAME OF PROVINCE,POPULATION,Party ,Candidates
NA-225,Thatta,Sindh,"1,083,191",Pakistan Tehreek-e-Insaf,Yasir Baloch
NA-225,Thatta,Sindh,"1,083,191",PPP,Sadiq Ali Memon
NA-225,Thatta,Sindh,"1,083,191",MQM,Muhammad Junaid Niaz
NA-225,Thatta,Sindh,"1,083,191",PMLN,Rasool Bux Jakhro
NA-226,Jamshoro,Sindh,"1,117,308",Pakistan Tehreek-e-Insaf,Ramzan Ghachi
NA-226,Jamshoro,Sindh,"1,117,308",PPP,Malik Asad Sikandar
NA-226,Jamshoro,Sindh,"1,117,308",PMLF,Syed Munir Nyder Shah
NA-227,Dadu-1,Sindh,"900,534",Pakistan Tehreek-e-Insaf,Khurram Sher Zaman
NA-227,Dadu-1,Sindh,"900,534",PPP,Irian Ali Leghari
NA-227,Dadu-1,Sindh,"900,534",MQM,Zulfiqar Ali
NA-227,Dadu-1,Sindh,"900,534",Jamiat Ulema-e-Islam (F),Hajan Khan Leghari
NA-227,Dadu-1,Sindh,"900,534",PMLF,Lia geat Ali Jatoi
NA-228,Dadu-2,Sindh,"841,786",Pakistan Tehreek-e-Insaf,Dawa Khan
NA-228,Dadu-2,Sindh,"841,786",PPP,Rafiq Ahmed Jamali
NA-228,Dadu-2,Sindh,"841,786",MQM,Abdul majieed Chahwan
NA-228,Dadu-2,Sindh,"841,786",Jamiat Ulema-e-Islam (F),Abu Bakar Brohi
NA-228,Dadu-2,Sindh,"841,786",PMLF,Karim Ali Jatoi
NA-229,Malir-1,Sindh,"822,528",Pakistan Tehreek-e-Insaf,Advocate Shujaat Ali Khan
NA-229,Malir-1,Sindh,"822,528",PPP,Jam Abdul Karim Bijar
NA-229,Malir-1,Sindh,"822,528",MQM,Fouzia Hameed
NA-229,Malir-1,Sindh,"822,528",PMLN,Qadir Bux
NA-229,Malir-1,Sindh,"822,528",ANP,Sajid Mahmood
NA-230,Malir-2,Sindh,"786,160",Pakistan Tehreek-e-Insaf,Aftab Jahangir
NA-230,Malir-2,Sindh,"786,160",PPP,Syed Rafiullah
NA-230,Malir-2,Sindh,"786,160",PMLN,Haji Muzaffar Ali Shajra
NA-230,Malir-2,Sindh,"786,160",ANP,Asif Ali
NA-230,Malir-2,Sindh,"786,160",Jamaat-e-Islami Pakistan ,Muhammad Islam
NA-231,Malir-3,Sindh,"823,560",Pakistan Tehreek-e-Insaf,Ata Ullah Khan
NA-231,Malir-3,Sindh,"823,560",PPP,Abdul Hakeem Baloch
NA-231,Malir-3,Sindh,"823,560",PMLN,Jamil Ahmed Khan
NA-231,Malir-3,Sindh,"823,560",ANP,Abdul Qayyum
NA-231,Malir-3,Sindh,"823,560",Istehkam-e-Pakistan Party,Muhammad Qasim
NA-232,Karachi Korangi-1,Sindh,"1,083,685",Pakistan Tehreek-e-Insaf,Malik Arif Awan
NA-232,Karachi Korangi-1,Sindh,"1,083,685",MQM,Asia Ishaq siddique
NA-232,Karachi Korangi-1,Sindh,"1,083,685",Istehkam-e-Pakistan Party,Tariq Mehmood Qadri
NA-233,Karachi Korangi-2,Sindh,"1,031,170",Pakistan Tehreek-e-Insaf,Abbas Husnain
NA-233,Karachi Korangi-2,Sindh,"1,031,170",PPP,Nida Asim
NA-233,Karachi Korangi-2,Sindh,"1,031,170",MQM,Muhammad Jawad Hanif Khan
NA-233,Karachi Korangi-2,Sindh,"1,031,170",PMLN,Zain Ul Abdin Ansari
NA-234,Karachi Korangi-3,Sindh,"1,014,116",Pakistan Tehreek-e-Insaf,Arslan Khalid
NA-234,Karachi Korangi-3,Sindh,"1,014,116",PPP,Muhammad Ali Rashid
NA-234,Karachi Korangi-3,Sindh,"1,014,116",MQM,Muhammad Mueen Amir Pirzada
NA-234,Karachi Korangi-3,Sindh,"1,014,116",PMLN,Saleem Zia
NA-234,Karachi Korangi-3,Sindh,"1,014,116",PMLF,Dilawar Gulzar
NA-234,Karachi Korangi-3,Sindh,"1,014,116",Jamaat-e-Islami Pakistan ,Akhter Hussain Qureshi
NA-234,Karachi Korangi-3,Sindh,"1,014,116",Istehkam-e-Pakistan Party,Rasheed Ahmed
NA-235,Karachi East-1,Sindh,"1,024,024",Pakistan Tehreek-e-Insaf,Barrister Uzair Ghouri
NA-235,Karachi East-1,Sindh,"1,024,024",PPP,Muhammad Asif Khan
NA-235,Karachi East-1,Sindh,"1,024,024",MQM,Muhammad iqbal
NA-235,Karachi East-1,Sindh,"1,024,024",PMLN,Sharafat Khan
NA-235,Karachi East-1,Sindh,"1,024,024",Jamaat-e-Islami Pakistan ,Miraj Ul Huda Siqqiqui
NA-235,Karachi East-1,Sindh,"1,024,024",Istehkam-e-Pakistan Party,Syed Ali Hussain
NA-236,Karachi East-2,Sindh,"958,292",Pakistan Tehreek-e-Insaf,Riaz Hyder
NA-236,Karachi East-2,Sindh,"958,292",PPP,Muhammad Muzammil Qureshi
NA-236,Karachi East-2,Sindh,"958,292",MQM,Hassan sabir
NA-236,Karachi East-2,Sindh,"958,292",PMLN,Parveen Bashir
NA-236,Karachi East-2,Sindh,"958,292",PMLF,Syed Mushtaq Hussain
NA-237,Karachi East-3,Sindh,"990,405",Pakistan Tehreek-e-Insaf,Dawood Khan
NA-237,Karachi East-3,Sindh,"990,405",PPP,Asad Alam Niazi
NA-237,Karachi East-3,Sindh,"990,405",MQM,Muhammad Abdul Rauf
NA-237,Karachi East-3,Sindh,"990,405",PMLN,Rehan Qaiser Sheikh
NA-237,Karachi East-3,Sindh,"990,405",ANP,Ahmed Zaman
NA-237,Karachi East-3,Sindh,"990,405",Istehkam-e-Pakistan Party,Zunaria Rehman
NA-238,Karachi East-4,Sindh,"950,644",Pakistan Tehreek-e-Insaf,Sardar Babar Musakhel
NA-238,Karachi East-4,Sindh,"950,644",PPP,Pir Omer Uddin Zafar
NA-238,Karachi East-4,Sindh,"950,644",MQM,Sadiq Iftikhar
NA-238,Karachi East-4,Sindh,"950,644",PMLN,Sidra Tel Muntaha
NA-238,Karachi East-4,Sindh,"950,644",ANP,Aziz Ur Rehman
NA-238,Karachi East-4,Sindh,"950,644",PMLF,Kausar Fatima Zaidi
NA-238,Karachi East-4,Sindh,"950,644",Jamaat-e-Islami Pakistan ,Saif Uddin 
NA-238,Karachi East-4,Sindh,"950,644",Istehkam-e-Pakistan Party,Mahmood Baqi Molvi
NA-239,Karachi South-1,Sindh,"783,497",Pakistan Tehreek-e-Insaf,Saddam Tareen
NA-239,Karachi South-1,Sindh,"783,497",PPP,Sardar Nabil Ahmed Gabol
NA-239,Karachi South-1,Sindh,"783,497",Jamiat Ulema-e-Islam (F),Moulana Noor Ul Haq
NA-239,Karachi South-1,Sindh,"783,497",PMLF,Shaista Ameer
NA-239,Karachi South-1,Sindh,"783,497",Jamaat-e-Islami Pakistan ,Fazal Ul Rehman Niazi
NA-240,Karachi South-2,Sindh,"782,762",Pakistan Tehreek-e-Insaf,Pir Bux Jamoot
NA-240,Karachi South-2,Sindh,"782,762",PPP,Saleom Maittivra :Ala
NA-240,Karachi South-2,Sindh,"782,762",MQM,Arshad Abdullah bohra
NA-240,Karachi South-2,Sindh,"782,762",PMLN,Sakina Anwar
NA-241,Karachi South-3,Sindh,"761,882",Pakistan Tehreek-e-Insaf,Khurram Sher Zaman
NA-241,Karachi South-3,Sindh,"761,882",PPP,Mirza Ikhtiar Baig
NA-241,Karachi South-3,Sindh,"761,882",PMLN,Rozina
NA-241,Karachi South-3,Sindh,"761,882",ANP,Owais Khan
NA-241,Karachi South-3,Sindh,"761,882",PMLF,Shaheena
NA-241,Karachi South-3,Sindh,"761,882",Jamaat-e-Islami Pakistan ,Naveed Ali Baig
NA-241,Karachi South-3,Sindh,"761,882",PMLQ,Muhammad Tariq Hassan
NA-241,Karachi South-3,Sindh,"761,882",Istehkam-e-Pakistan Party,Jairam Das
NA-242,Karachi Keamari-1,Sindh,"1,025,731",Pakistan Tehreek-e-Insaf,Dawa Khan
NA-242,Karachi Keamari-1,Sindh,"1,025,731",PPP,Qadir Khan Mandokhail
NA-242,Karachi Keamari-1,Sindh,"1,025,731",ANP,Arshad Sohail
NA-242,Karachi Keamari-1,Sindh,"1,025,731",Jamaat-e-Islami Pakistan ,Fazal Ahad
NA-242,Karachi Keamari-1,Sindh,"1,025,731",Istehkam-e-Pakistan Party,Bakhtiar Ali
NA-243,Karachi Keamari-2,Sindh,"1,042,720",Pakistan Tehreek-e-Insaf,Advocate Shujaat Ali Khan
NA-243,Karachi Keamari-2,Sindh,"1,042,720",PPP,Abdul Qadir Patel
NA-243,Karachi Keamari-2,Sindh,"1,042,720",PMLN,Akhtar Hussain Jadoon
NA-243,Karachi Keamari-2,Sindh,"1,042,720",Jamaat-e-Islami Pakistan ,Shiraz Khan Jadoon
NA-244,Karachi West-1,Sindh,"944,027",Pakistan Tehreek-e-Insaf,Aftab Jahangir
NA-244,Karachi West-1,Sindh,"944,027",PPP,Abdul Berr
NA-244,Karachi West-1,Sindh,"944,027",PMLN,Ghulam Rasool
NA-244,Karachi West-1,Sindh,"944,027",ANP,Muhammad Ishaq
NA-245,Karachi West-2,Sindh,"857,495",Pakistan Tehreek-e-Insaf,Ata Ullah Khan
NA-245,Karachi West-2,Sindh,"857,495",PPP,Siddique Akber
NA-245,Karachi West-2,Sindh,"857,495",ANP,Amir Nawab
NA-245,Karachi West-2,Sindh,"857,495",Jamiat Ulema-e-Islam (F),Amin Ullah
NA-246,Karachi West-3,Sindh,"877,858",Pakistan Tehreek-e-Insaf,Malik Arif Awan
NA-246,Karachi West-3,Sindh,"877,858",PPP,Waseem Akhter
NA-246,Karachi West-3,Sindh,"877,858",PMLN,Syed Muhammad Saleem Ashrafi
NA-246,Karachi West-3,Sindh,"877,858",ANP,DOST MUHAMMAD
NA-246,Karachi West-3,Sindh,"877,858",Jamaat-e-Islami Pakistan ,Naeem Ur Rehman Khan
NA-247,Karachi Central-1,Sindh,"938,178",Pakistan Tehreek-e-Insaf,Abbas Husnain
NA-247,Karachi Central-1,Sindh,"938,178",PPP,Sheik Muhammad Maaz Feroz
NA-247,Karachi Central-1,Sindh,"938,178",PMLN,Naheed Parveen
NA-247,Karachi Central-1,Sindh,"938,178",PMLF,Anbar Naeem
NA-248,Karachi Central-2,Sindh,"978,169",Pakistan Tehreek-e-Insaf,Arslan Khalid
NA-248,Karachi Central-2,Sindh,"978,169",PPP,Muhammad Hassan Khan
NA-248,Karachi Central-2,Sindh,"978,169",Istehkam-e-Pakistan Party,Muhammad Anwar Azeem Khan
NA-249,Karachi Central-3,Sindh,"948,099",Pakistan Tehreek-e-Insaf,Barrister Uzair Ghouri
NA-249,Karachi Central-3,Sindh,"948,099",PMLN,Syed Ansub Raza Fatmi
NA-249,Karachi Central-3,Sindh,"948,099",ANP,Naimat Khalil
NA-249,Karachi Central-3,Sindh,"948,099",Jamaat-e-Islami Pakistan ,Mian Muslim Pervaiz
NA-250,Karachi Central-4,Sindh,"957,879",Pakistan Tehreek-e-Insaf,Riaz Hyder
NA-250,Karachi Central-4,Sindh,"957,879",PPP,Sohail Mansoor Khawaja
NA-250,Karachi Central-4,Sindh,"957,879",PMLN,Furqan Ali
NA-250,Karachi Central-4,Sindh,"957,879",ANP,Muhammad Khan Afridi
NA-250,Karachi Central-4,Sindh,"957,879",Jamaat-e-Islami Pakistan ,Naeem Ur Rehman Khan
NA-250,Karachi Central-4,Sindh,"957,879",Istehkam-e-Pakistan Party,Noureen Iqbal
NA-251,Sherani-cum-Zhob-cumKilla Saifullah,Balochistan,927579,Pakistan Tehreek-e-Insaf,Dawood Khan
NA-251,Sherani-cum-Zhob-cumKilla Saifullah,Balochistan,927579,PMLN,Toor GulKhm Jogezai
NA-251,Sherani-cum-Zhob-cumKilla Saifullah,Balochistan,927579,ANP,Muhammad Shafi
NA-251,Sherani-cum-Zhob-cumKilla Saifullah,Balochistan,927579,Jamiat Ulema-e-Islam (F),Syed Sami Ullah
NA-252,Musa Khail-cum-Barkhancum-Loralai-cum-Duki,Balochistan,"870,000",Pakistan Tehreek-e-Insaf,Sardar Babar Musakhel
NA-252,Musa Khail-cum-Barkhancum-Loralai-cum-Duki,Balochistan,"870,000",PMLN,Sardar Muhamrnad Yaqoob Khan Nasar
NA-252,Musa Khail-cum-Barkhancum-Loralai-cum-Duki,Balochistan,"870,000",ANP,Shazia Bibi
NA-252,Musa Khail-cum-Barkhancum-Loralai-cum-Duki,Balochistan,"870,000",Jamiat Ulema-e-Islam (F),Amanullah Khan
NA-252,Musa Khail-cum-Barkhancum-Loralai-cum-Duki,Balochistan,"870,000",Istehkam-e-Pakistan Party,Jalil Ahmad Khan
NA-253,Harnai-cum-Sibi-cum-Kohlu-cum-Dera Bugti,Balochistan,"967,213",Pakistan Tehreek-e-Insaf,Saddam Tareen
NA-253,Harnai-cum-Sibi-cum-Kohlu-cum-Dera Bugti,Balochistan,"967,213",PMLN,Mir Dostain Khan Domki
NA-253,Harnai-cum-Sibi-cum-Kohlu-cum-Dera Bugti,Balochistan,"967,213",ANP,Farid Ullah Dumar
NA-253,Harnai-cum-Sibi-cum-Kohlu-cum-Dera Bugti,Balochistan,"967,213",Jamiat Ulema-e-Islam (F),Naseer Ahmed Kakar
NA-254,Jhal Magsi-cum-Kachhicum-Nasirabad,Balochistan,"919,454",Pakistan Tehreek-e-Insaf,Pir Bux Jamoot
NA-254,Jhal Magsi-cum-Kachhicum-Nasirabad,Balochistan,"919,454",BAP,Khalid Magsi
NA-254,Jhal Magsi-cum-Kachhicum-Nasirabad,Balochistan,"919,454",Jamiat Ulema-e-Islam (F),Nizam ud Din Lehri
NA-255,Sohbat Pur-cumJaffarabad-cum-Usta Mohammadcum-Nasirabad,Balochistan,1124567,Pakistan Tehreek-e-Insaf,Arif Rind
NA-255,Sohbat Pur-cumJaffarabad-cum-Usta Mohammadcum-Nasirabad,Balochistan,1124567,PMLN,Mir Muhammad Khan Jamali
NA-255,Sohbat Pur-cumJaffarabad-cum-Usta Mohammadcum-Nasirabad,Balochistan,1124567,ANP,Muhammad Ismail
NA-255,Sohbat Pur-cumJaffarabad-cum-Usta Mohammadcum-Nasirabad,Balochistan,1124567,Jamiat Ulema-e-Islam (F),Mir Hussain
NA-256,Khuzdar,Balochistan,"997,214",PMLN,Abdul Khaliq
NA-256,Khuzdar,Balochistan,"997,214",Jamiat Ulema-e-Islam (F),"Salahuddin Son Of Haji Abdul
Salarn"
NA-257,Hub-cum-Lasbela-cumAwaran,Balochistan,"859,935",Pakistan Tehreek-e-Insaf,Mir Ali Ahmad Zehri
NA-257,Hub-cum-Lasbela-cumAwaran,Balochistan,"859,935",PMLN,Jam Kamal Khan
NA-257,Hub-cum-Lasbela-cumAwaran,Balochistan,"859,935",ANP,Nawaz AIi Burfat
NA-257,Hub-cum-Lasbela-cumAwaran,Balochistan,"859,935",Jamiat Ulema-e-Islam (F),Muhanmad Alam
NA-258,Panjgur-cum-Kech,Balochistan,936284,PMLN,Mohammad Aslam Boledi
NA-258,Panjgur-cum-Kech,Balochistan,936284,Jamiat Ulema-e-Islam (F),Zafarullah Khan Gichki
NA-259,Kech-cum-Gwadar,Balochistan,"939,588",PPP,Mrlik Shah
NA-259,Kech-cum-Gwadar,Balochistan,"939,588",BAP,Kauda Babar
NA-259,Kech-cum-Gwadar,Balochistan,"939,588",Jamiat Ulema-e-Islam (F),Khalid Waleed
NA-260,Chagai-cum-N ushki-cumKharan-cum-Washuk,Balochistan,1040001,Pakistan Tehreek-e-Insaf,Ghulam Qadir Sanjrani
NA-260,Chagai-cum-N ushki-cumKharan-cum-Washuk,Balochistan,1040001,BAP,Ejaz Sanjrani
NA-260,Chagai-cum-N ushki-cumKharan-cum-Washuk,Balochistan,1040001,PMLN,Sardar Fateh Muhammad Muhammad Hasni
NA-260,Chagai-cum-N ushki-cumKharan-cum-Washuk,Balochistan,1040001,Jamiat Ulema-e-Islam (F),Muhammad Usman Badini
NA-261,Surab-cum-Kalat-cumMastung,Balochistan,863869,PMLN,MirAtta UIIah
NA-261,Surab-cum-Kalat-cumMastung,Balochistan,863869,Jamiat Ulema-e-Islam (F),Moulana Abdul Ghafoor Haideri 
NA-262,Quetta-1,Balochistan,799886,Pakistan Tehreek-e-Insaf,Adil Bazai
NA-262,Quetta-1,Balochistan,799886,PPP,Muhammad Ramzan
NA-262,Quetta-1,Balochistan,799886,BAP,Manzoor Ahmed
NA-262,Quetta-1,Balochistan,799886,PMLN,Nawab Salman Khan Khilji
NA-262,Quetta-1,Balochistan,799886,Jamiat Ulema-e-Islam (F),Malik Sikandar Khan
NA-263,Quetta-2,Balochistan,821950,Pakistan Tehreek-e-Insaf,Salar Khan Kakar
NA-263,Quetta-2,Balochistan,821950,PPP,Rozl Khn Kttar
NA-263,Quetta-2,Balochistan,821950,BAP,Rubina Irfan
NA-263,Quetta-2,Balochistan,821950,PMLN,Haji Jamal Shah Kakar
NA-263,Quetta-2,Balochistan,821950,ANP,Asghar Khan
NA-263,Quetta-2,Balochistan,821950,PMLQ,Shakeel Ahmed Roshan
NA-264,Quetta-3,Balochistan,973656,Pakistan Tehreek-e-Insaf,Zain ul abidin Khilji
NA-264,Quetta-3,Balochistan,973656,ANP,Noor Ahmed
NA-264,Quetta-3,Balochistan,973656,Jamiat Ulema-e-Islam (F),Abdul Rehman
NA-265,Pishin-cum -Ziarat,Balochistan,1025017,Pakistan Tehreek-e-Insaf,Syed Zahoor Agha
NA-265,Pishin-cum -Ziarat,Balochistan,1025017,PMLN,Saad UllahTareen
NA-265,Pishin-cum -Ziarat,Balochistan,1025017,ANP,Abdul Rashid
NA-265,Pishin-cum -Ziarat,Balochistan,1025017,Jamiat Ulema-e-Islam (F),Fazl Ur Rahmen
NA-266,Killa Abdullah-cum-Chaman,Balochistan,828189,Pakistan Tehreek-e-Insaf,Malak Muhammad Asmat Kakar
NA-266,Killa Abdullah-cum-Chaman,Balochistan,828189,PPP,Nazar Muhammad
NA-266,Killa Abdullah-cum-Chaman,Balochistan,828189,PMLN,Abdul Khaliq Son of  Mira Jan
NA-266,Killa Abdullah-cum-Chaman,Balochistan,828189,ANP,Muhibullah Kakar
